candidate_id,rank,score,reasoning
CAND_0002025,1,0.814,"Senior AI Engineer at Apple (5.9y); lexical/full-text search infrastructure evidence; 4y+ tenure at one employer. notice 30d, response rate 0.80; GitHub activity 97/100."
CAND_0018499,2,0.8049,"Senior Machine Learning Engineer at Zomato (7.2y); RAG/retrieval pipeline work in career history; 4y+ tenure at one employer. notice 15d, response rate 0.61; GitHub activity 95/100."
CAND_0055905,3,0.7897,"Senior Machine Learning Engineer at Flipkart (8.1y); RAG/retrieval pipeline work in career history; 4y+ tenure at one employer. notice 30d, response rate 0.87."
CAND_0081846,4,0.7847,"Lead AI Engineer at Razorpay (6.7y); RAG/retrieval pipeline work in career history; 4y+ tenure at one employer. notice 30d, response rate 0.73; GitHub activity 34/100."
CAND_0077337,5,0.7767,"Staff Machine Learning Engineer at Paytm (7.0y); embedding-based retrieval system evidence; 4y+ tenure at one employer. notice 60d (manageable), response rate 0.95; GitHub activity 68/100."
CAND_0061257,6,0.7732,"Staff Machine Learning Engineer at LinkedIn (8.0y); ranking evaluation framework experience; 4y+ tenure at one employer. notice 30d, response rate 0.87; GitHub activity 45/100."
CAND_0046064,7,0.7646,"Senior NLP Engineer at Salesforce (8.9y); RAG/retrieval pipeline work in career history; 3y+ tenure at one employer. notice 30d, response rate 0.78; GitHub activity 67/100."
CAND_0062247,8,0.7623,"AI Engineer at Google (7.3y); embedding-based retrieval system evidence; 4y+ tenure at one employer. notice 30d, response rate 0.78; GitHub activity 53/100."
CAND_0070525,9,0.7616,"Senior Software Engineer (ML) at Mad Street Den (5.4y); LLM fine-tuning experience. notice 45d (manageable), response rate 0.93; GitHub activity 18/100."
CAND_0079387,10,0.7476,"AI Engineer at Microsoft (6.9y); RAG/retrieval pipeline work in career history. notice 30d, response rate 0.81; GitHub activity 64/100."
CAND_0050454,11,0.7452,"AI Engineer at Rephrase.ai (6.8y); embedding-based retrieval system evidence. notice 30d, response rate 0.77."
CAND_0052682,12,0.7434,"NLP Engineer at Aganitha (6.6y); RAG/retrieval pipeline work in career history; 4y+ tenure at one employer. notice 30d, response rate 0.88; GitHub activity 72/100. Largest drag on rank: inactive 90d."
CAND_0030031,13,0.7405,"AI Engineer at Microsoft (5.7y); RAG/retrieval pipeline work in career history; career history emphasizes shipped-style delivery. notice 30d, response rate 0.94; GitHub activity 32/100."
CAND_0088025,14,0.7394,"Staff Machine Learning Engineer at Yellow.ai (8.6y); embedding-based retrieval system evidence; 4y+ tenure at one employer. notice 90d (flagged), response rate 0.83; GitHub activity 75/100. Largest drag on rank: 90d notice period."
CAND_0043860,15,0.7391,"Junior ML Engineer at Aganitha (6.1y); applied ML/NLP career background; 4y+ tenure at one employer. notice 30d, response rate 0.81."
CAND_0083879,16,0.7369,"Machine Learning Engineer at Ola (7.1y); embedding-based retrieval system evidence; 4y+ tenure at one employer. notice 30d, response rate 0.47. Largest drag on rank: inactive 70d."
CAND_0041610,17,0.7367,"Recommendation Systems Engineer at Zoho (6.7y); RAG/retrieval pipeline work in career history. notice 30d, response rate 0.52; GitHub activity 52/100."
CAND_0064326,18,0.7307,"Search Engineer at Sarvam AI (7.6y); RAG/retrieval pipeline work in career history; career history emphasizes shipped-style delivery. notice 45d (manageable), response rate 0.94; GitHub activity 61/100. Largest drag on rank: 45d notice period."
CAND_0008425,19,0.7279,"Senior NLP Engineer at Ola (7.8y); embedding-based retrieval system evidence; 4y+ tenure at one employer. notice 90d (flagged), response rate 0.66; GitHub activity 53/100. Largest drag on rank: 90d notice period."
CAND_0078002,20,0.7267,"Machine Learning Engineer at Meta (6.3y); RAG/retrieval pipeline work in career history; career history emphasizes shipped-style delivery. notice 60d (manageable), response rate 0.86; GitHub activity 51/100. Largest drag on rank: 60d notice period."
CAND_0036184,21,0.7266,"Recommendation Systems Engineer at CRED (6.0y); embedding-based retrieval system evidence; 4y+ tenure at one employer. notice 30d, response rate 0.90; GitHub activity 43/100. Largest drag on rank: no shipped/owned/built evidence detected."
CAND_0046525,22,0.7255,"Senior Machine Learning Engineer at Genpact AI (6.1y); currently at Genpact AI, but 100% of career history is at product companies; RAG/retrieval pipeline work in career history; 4y+ tenure at one employer. notice 60d (manageable), response rate 0.88; GitHub activity 37/100. Largest drag on rank: 60d notice period."
CAND_0042029,23,0.7251,"Senior Data Scientist at Flipkart (6.5y); RAG/retrieval pipeline work in career history; 4y+ tenure at one employer. notice 45d (manageable), response rate 0.67; GitHub activity 79/100. Largest drag on rank: inactive 74d."
CAND_0018722,24,0.7219,"Recommendation Systems Engineer at Saarthi.ai (6.6y); embedding-based retrieval system evidence. notice 90d (flagged), response rate 0.79; GitHub activity 94/100. Largest drag on rank: 90d notice period."
CAND_0048558,25,0.721,"Data Scientist at Rephrase.ai (6.7y); learning-to-rank production experience; 3y+ tenure at one employer. notice 30d, response rate 0.80."
CAND_0005538,26,0.7201,"Senior AI Engineer at Adobe (5.9y); recommendation system production evidence; career history emphasizes shipped-style delivery. notice 90d (flagged), response rate 0.81; GitHub activity 58/100. Largest drag on rank: 90d notice period."
CAND_0013665,27,0.7172,"Senior Software Engineer (ML) at InMobi (5.2y); applied ML/NLP career background; 3y+ tenure at one employer. notice 30d, response rate 0.73; GitHub activity 19/100."
CAND_0068811,28,0.7164,"Applied ML Engineer at Freshworks (8.0y); RAG/retrieval pipeline work in career history. notice 30d, response rate 0.42; GitHub activity 23/100. Largest drag on rank: response rate 0.42."
CAND_0052328,29,0.7157,"Recommendation Systems Engineer at Amazon (6.5y); RAG/retrieval pipeline work in career history; 4y+ tenure at one employer. notice 30d, response rate 0.79; GitHub activity 78/100. Largest drag on rank: inactive 87d."
CAND_0005260,30,0.7138,"Senior NLP Engineer at Netflix (5.2y); RAG/retrieval pipeline work in career history; career history emphasizes shipped-style delivery. notice 60d (manageable), response rate 0.86. Largest drag on rank: 60d notice period."
CAND_0011327,31,0.7084,"AI Research Engineer at Krutrim (6.3y); currently AI Research Engineer, but career history shows shipped production evidence; LLM fine-tuning experience; 4y+ tenure at one employer. notice 60d (manageable), response rate 0.79. Largest drag on rank: 60d notice period."
CAND_0067866,32,0.7058,"Senior Software Engineer (ML) at Tech Mahindra (6.4y); currently at Tech Mahindra, but 50% of career history is at product companies; LLM fine-tuning experience; 3y+ tenure at one employer. notice 45d (manageable), response rate 0.79; GitHub activity 28/100. Largest drag on rank: 45d notice period."
CAND_0041669,33,0.7044,"Recommendation Systems Engineer at CRED (8.0y); RAG/retrieval pipeline work in career history; 4y+ tenure at one employer. notice 60d (manageable), response rate 0.77; GitHub activity 71/100. Largest drag on rank: inactive 81d."
CAND_0015528,34,0.7041,"Applied ML Engineer at Krutrim (7.4y); recommendation system production evidence; 4y+ tenure at one employer. notice 30d, response rate 0.53; GitHub activity 51/100. Largest drag on rank: inactive 71d."
CAND_0007412,35,0.7039,"Applied ML Engineer at Zoho (7.4y); RAG/retrieval pipeline work in career history; career history emphasizes shipped-style delivery. notice 120d (long), response rate 0.76; GitHub activity 36/100. Largest drag on rank: 120d notice period."
CAND_0045250,36,0.7032,"Applied ML Engineer at Rephrase.ai (6.6y); learning-to-rank production experience; 4y+ tenure at one employer. notice 15d, response rate 0.74."
CAND_0091745,37,0.7028,"Junior ML Engineer at Locobuzz (5.9y); learning-to-rank production experience; 4y+ tenure at one employer. notice 30d, response rate 0.53; GitHub activity 32/100."
CAND_0069638,38,0.6989,"Computer Vision Engineer at Swiggy (6.2y); currently Computer Vision Engineer, but career history shows shipped production evidence; LLM fine-tuning experience. notice 30d, response rate 0.64; GitHub activity 24/100."
CAND_0096142,39,0.6965,"Applied ML Engineer at upGrad (5.0y); learning-to-rank production experience; 4y+ tenure at one employer. notice 120d (long), response rate 0.84; GitHub activity 80/100. Largest drag on rank: 120d notice period."
CAND_0080766,40,0.6957,"Staff Machine Learning Engineer at Salesforce (8.8y); embedding-based retrieval system evidence; 4y+ tenure at one employer. notice 0d, response rate 0.66; GitHub activity 33/100. Largest drag on rank: inactive 78d."
CAND_0058688,41,0.6951,"AI Engineer at Vedantu (6.7y); recommendation system production evidence; 4y+ tenure at one employer. notice 15d, response rate 0.74; GitHub activity 39/100. Largest drag on rank: inactive 90d."
CAND_0004402,42,0.695,"AI Research Engineer at Yellow.ai (6.0y); currently AI Research Engineer, but career history shows shipped production evidence; applied ML/NLP career background; 3y+ tenure at one employer. notice 60d (manageable), response rate 0.83. Largest drag on rank: 60d notice period."
CAND_0069905,43,0.6946,"Applied ML Engineer at Sarvam AI (6.6y); RAG/retrieval pipeline work in career history; 3y+ tenure at one employer. notice 90d (flagged), response rate 0.78; GitHub activity 45/100. Largest drag on rank: 90d notice period."
CAND_0064256,44,0.6926,"Junior ML Engineer at BYJU'S (6.4y); applied ML/NLP career background; 4y+ tenure at one employer. notice 30d, response rate 0.86."
CAND_0074342,45,0.6923,"Data Scientist at Zoho (5.7y); LLM fine-tuning experience; 4y+ tenure at one employer. notice 30d, response rate 0.76; GitHub activity 25/100."
CAND_0015967,46,0.6909,"Senior Software Engineer (ML) at Razorpay (5.4y); learning-to-rank production experience; 4y+ tenure at one employer. notice 30d, response rate 0.45; GitHub activity 26/100. Largest drag on rank: response rate 0.45."
CAND_0030468,47,0.6905,"Senior Applied Scientist at Swiggy (5.4y); applied ML/NLP career background; career history emphasizes shipped-style delivery. notice 45d (manageable), response rate 0.78; GitHub activity 45/100. Largest drag on rank: 45d notice period."
CAND_0060054,48,0.69,"AI Engineer at Mad Street Den (6.4y); embedding-based retrieval system evidence; career history emphasizes shipped-style delivery. notice 15d, response rate 0.86. Largest drag on rank: inactive 101d."
CAND_0042506,49,0.6892,"Search Engineer at Verloop.io (4.2y); RAG/retrieval pipeline work in career history. notice 15d, response rate 0.48; GitHub activity 64/100. Largest drag on rank: experience outside the ideal band."
CAND_0095528,50,0.6888,"Senior Data Scientist at Netflix (5.3y); recommendation system production evidence. notice 45d (manageable), response rate 0.55. Largest drag on rank: 45d notice period."
CAND_0044222,51,0.6875,"AI Engineer at PolicyBazaar (7.7y); embedding-based retrieval system evidence; 4y+ tenure at one employer. notice 60d (manageable), response rate 0.60; GitHub activity 29/100. Largest drag on rank: 60d notice period."
