candidate_id,rank,score,reasoning
CAND_0002025,1,0.8875,"Senior AI Engineer at Apple (5.9y); lexical/full-text search infrastructure evidence; 4y+ tenure at one employer. notice 30d, response rate 0.80; GitHub activity 97/100."
CAND_0018499,2,0.8837,"Senior Machine Learning Engineer at Zomato (7.2y); RAG/retrieval pipeline work in career history; 4y+ tenure at one employer. notice 15d, response rate 0.61; GitHub activity 95/100."
CAND_0055905,3,0.8819,"Senior Machine Learning Engineer at Flipkart (8.1y); RAG/retrieval pipeline work in career history; 4y+ tenure at one employer. notice 30d, response rate 0.87."
CAND_0081846,4,0.8783,"Lead AI Engineer at Razorpay (6.7y); RAG/retrieval pipeline work in career history; 4y+ tenure at one employer. notice 30d, response rate 0.73; GitHub activity 34/100."
CAND_0077337,5,0.8755,"Staff Machine Learning Engineer at Paytm (7.0y); embedding-based retrieval system evidence; 4y+ tenure at one employer. notice 60d (manageable), response rate 0.95; GitHub activity 68/100."
CAND_0062247,6,0.8732,"AI Engineer at Google (7.3y); embedding-based retrieval system evidence; 4y+ tenure at one employer. notice 30d, response rate 0.78; GitHub activity 53/100."
CAND_0061257,7,0.8655,"Staff Machine Learning Engineer at LinkedIn (8.0y); ranking evaluation framework experience; 4y+ tenure at one employer. notice 30d, response rate 0.87; GitHub activity 45/100."
CAND_0050454,8,0.8565,"AI Engineer at Rephrase.ai (6.8y); embedding-based retrieval system evidence. notice 30d, response rate 0.77."
CAND_0046064,9,0.8536,"Senior NLP Engineer at Salesforce (8.9y); RAG/retrieval pipeline work in career history; 3y+ tenure at one employer. notice 30d, response rate 0.78; GitHub activity 67/100."
CAND_0070525,10,0.8511,"Senior Software Engineer (ML) at Mad Street Den (5.4y); LLM fine-tuning experience. notice 45d (manageable), response rate 0.93; GitHub activity 18/100."
CAND_0008425,11,0.8484,"Senior NLP Engineer at Ola (7.8y); embedding-based retrieval system evidence; 4y+ tenure at one employer. notice 90d (flagged), response rate 0.66; GitHub activity 53/100. Largest drag on rank: 90d notice period."
CAND_0088025,12,0.8459,"Staff Machine Learning Engineer at Yellow.ai (8.6y); embedding-based retrieval system evidence; 4y+ tenure at one employer. notice 90d (flagged), response rate 0.83; GitHub activity 75/100. Largest drag on rank: 90d notice period."
CAND_0018722,13,0.8436,"Recommendation Systems Engineer at Saarthi.ai (6.6y); embedding-based retrieval system evidence. notice 90d (flagged), response rate 0.79; GitHub activity 94/100. Largest drag on rank: 90d notice period."
CAND_0046525,14,0.8434,"Senior Machine Learning Engineer at Genpact AI (6.1y); currently at Genpact AI, but career history validates prior product-scale deployment; RAG/retrieval pipeline work in career history; 4y+ tenure at one employer. notice 60d (manageable), response rate 0.88; GitHub activity 37/100. Largest drag on rank: 60d notice period."
CAND_0078002,15,0.8419,"Machine Learning Engineer at Meta (6.3y); RAG/retrieval pipeline work in career history; career history emphasizes shipped-style delivery. notice 60d (manageable), response rate 0.86; GitHub activity 51/100. Largest drag on rank: 60d notice period."
CAND_0013665,16,0.8406,"Senior Software Engineer (ML) at InMobi (5.2y); applied ML/NLP career background; 3y+ tenure at one employer. notice 30d, response rate 0.73; GitHub activity 19/100."
CAND_0083879,17,0.8338,"Machine Learning Engineer at Ola (7.1y); embedding-based retrieval system evidence; 4y+ tenure at one employer. notice 30d, response rate 0.47. Largest drag on rank: inactive 70d."
CAND_0042029,18,0.8336,"Senior Data Scientist at Flipkart (6.5y); RAG/retrieval pipeline work in career history; 4y+ tenure at one employer. notice 45d (manageable), response rate 0.67; GitHub activity 79/100. Largest drag on rank: inactive 74d."
CAND_0069905,19,0.8308,"Applied ML Engineer at Sarvam AI (6.6y); RAG/retrieval pipeline work in career history; 3y+ tenure at one employer. notice 90d (flagged), response rate 0.78; GitHub activity 45/100. Largest drag on rank: 90d notice period."
CAND_0005260,20,0.8291,"Senior NLP Engineer at Netflix (5.2y); RAG/retrieval pipeline work in career history; career history emphasizes shipped-style delivery. notice 60d (manageable), response rate 0.86. Largest drag on rank: 60d notice period."
CAND_0079387,21,0.8285,"AI Engineer at Microsoft (6.9y); RAG/retrieval pipeline work in career history. notice 30d, response rate 0.81; GitHub activity 64/100. Largest drag on rank: inactive 62d."
CAND_0041610,22,0.8283,"Recommendation Systems Engineer at Zoho (6.7y); RAG/retrieval pipeline work in career history. notice 30d, response rate 0.52; GitHub activity 52/100."
CAND_0015528,23,0.8261,"Applied ML Engineer at Krutrim (7.4y); recommendation system production evidence; 4y+ tenure at one employer. notice 30d, response rate 0.53; GitHub activity 51/100. Largest drag on rank: inactive 71d."
CAND_0011327,24,0.8242,"AI Research Engineer at Krutrim (6.3y); currently AI Research Engineer, but career history shows shipped production evidence; LLM fine-tuning experience; 4y+ tenure at one employer. notice 60d (manageable), response rate 0.79. Largest drag on rank: 60d notice period."
